CustomerID,Name,Membership_Level,upgrade_proba,Propensity_Bucket,Monthly_Revenue,Spending_Score,Purchase_Frequency,App_Rating,Last_Month_Complaints
CUST1151,Raymond Benton,Platinum,0.9983271,Very Hot (80-100%),189.735,7,3.5,2,0
CUST2599,Melissa Williamson,Platinum,0.9974311,Very Hot (80-100%),130.368,6,2.1,2,0
CUST2776,Michael Hunt,Silver,0.997335,Very Hot (80-100%),320.72400000000005,9,3.6,4,0
CUST1193,John Sutton,Silver,0.9972255,Very Hot (80-100%),181.17000000000002,20,2.2,3,1
CUST1402,Briana Wilson,Silver,0.99663097,Very Hot (80-100%),107.838,20,1.8,4,0
CUST2113,Patricia Beasley,Platinum,0.9964324,Very Hot (80-100%),115.62,20,1.5,1,0
CUST2388,Wendy Beck,Silver,0.99638736,Very Hot (80-100%),113.346,8,1.8,3,0
CUST2304,James Davis,Platinum,0.9959204,Very Hot (80-100%),132.75,17,1.8,5,0
CUST1541,Mary Lane,Platinum,0.9956381,Very Hot (80-100%),160.642,27,3.1,4,0
CUST1636,Stephen Smith,Gold,0.9956216,Very Hot (80-100%),177.625,27,2.9,4,0
CUST1509,Michael Orr,Gold,0.9955538,Very Hot (80-100%),377.289,36,3.7,4,0
CUST2609,Michael Sutton,Silver,0.995531,Very Hot (80-100%),137.112,26,2.4,3,0
CUST1917,Patrick Lee,Platinum,0.99549687,Very Hot (80-100%),297.879,13,3.1,4,0
CUST2882,Christopher Smith,Gold,0.99542373,Very Hot (80-100%),214.642,1,3.4,4,1
CUST1167,David Stephens,Gold,0.9951462,Very Hot (80-100%),237.349,13,4.1,3,0
CUST2403,Steven Ward,Gold,0.9947102,Very Hot (80-100%),166.342,14,2.2,5,0
CUST2210,Elizabeth Pierce,Silver,0.9939526,Very Hot (80-100%),140.59,26,3.4,3,0
CUST2277,John Knight,Gold,0.99385923,Very Hot (80-100%),107.666,14,1.3,4,0
CUST1337,Donna Arnold,Silver,0.9937457,Very Hot (80-100%),177.767,20,2.3,4,0
CUST1953,Lindsey Walker,Silver,0.9934708,Very Hot (80-100%),201.45499999999998,30,4.3,4,1
CUST1496,Melinda Olsen,Silver,0.99309534,Very Hot (80-100%),225.369,25,2.7,2,0
CUST2472,Kristy Jackson,Platinum,0.99297065,Very Hot (80-100%),225.67499999999998,14,2.5,5,0
CUST2524,Cindy Benson,Gold,0.9929496,Very Hot (80-100%),116.74800000000002,8,2.7,4,0
CUST1733,Sue Brown,Silver,0.99238294,Very Hot (80-100%),303.653,36,4.9,4,0
CUST2224,Karen Fields,Silver,0.9922989,Very Hot (80-100%),126.44799999999998,2,2.8,4,0
CUST2409,Tina Martin,Silver,0.99220806,Very Hot (80-100%),92.67500000000001,27,1.1,2,1
CUST2479,Erin Lynch,Silver,0.99198383,Very Hot (80-100%),165.08100000000002,17,2.1,5,0
CUST1066,Rebecca Washington,Gold,0.9917856,Very Hot (80-100%),123.194,2,3.1,4,0
CUST1960,Kimberly Gibson,Silver,0.991344,Very Hot (80-100%),70.12899999999999,32,1.9,3,0
CUST2023,Gordon Walter,Gold,0.9913305,Very Hot (80-100%),271.354,30,2.3,2,0
CUST1725,Brian Stanley,Gold,0.9910335,Very Hot (80-100%),199.012,23,2.2,3,0
CUST2683,Sherry Long,Silver,0.99095964,Very Hot (80-100%),285.085,20,3.7,4,0
CUST1964,William Hughes,Gold,0.99089456,Very Hot (80-100%),96.44800000000001,4,3.2,3,1
CUST2510,Alexis Lopez,Silver,0.99058753,Very Hot (80-100%),350.337,31,3.9,3,0
CUST1249,Michael Mathis,Silver,0.9905033,Very Hot (80-100%),230.897,36,2.3,5,0
CUST2695,James Russo,Silver,0.9903487,Very Hot (80-100%),58.56,15,1.6,3,0
CUST1267,Troy Conley,Silver,0.9902766,Very Hot (80-100%),74.04,17,1.2,4,0
